SampleName	HALLMARK.ADIPOGENESIS	HALLMARK.ALLOGRAFT.REJECTION	HALLMARK.ANDROGEN.RESPONSE	HALLMARK.ANGIOGENESIS	HALLMARK.APICAL.JUNCTION	HALLMARK.APICAL.SURFACE	HALLMARK.APOPTOSIS	HALLMARK.BILE.ACID.METABOLISM	HALLMARK.CHOLESTEROL.HOMEOSTASIS	HALLMARK.COAGULATION	HALLMARK.COMPLEMENT	HALLMARK.DNA.REPAIR	HALLMARK.E2F.TARGETS	HALLMARK.EPITHELIAL.MESENCHYMAL.TRANSITION	HALLMARK.ESTROGEN.RESPONSE.EARLY	HALLMARK.ESTROGEN.RESPONSE.LATE	HALLMARK.FATTY.ACID.METABOLISM	HALLMARK.G2M.CHECKPOINT	HALLMARK.GLYCOLYSIS	HALLMARK.HEDGEHOG.SIGNALING	HALLMARK.HEME.METABOLISM	HALLMARK.HYPOXIA	HALLMARK.IL2.STAT5.SIGNALING	HALLMARK.IL6.JAK.STAT3.SIGNALING	HALLMARK.INFLAMMATORY.RESPONSE	HALLMARK.INTERFERON.ALPHA.RESPONSE	HALLMARK.INTERFERON.GAMMA.RESPONSE	HALLMARK.KRAS.SIGNALING.DN	HALLMARK.KRAS.SIGNALING.UP	HALLMARK.MITOTIC.SPINDLE	HALLMARK.MTORC1.SIGNALING	HALLMARK.MYC.TARGETS.V1	HALLMARK.MYC.TARGETS.V2	HALLMARK.MYOGENESIS	HALLMARK.NOTCH.SIGNALING	HALLMARK.OXIDATIVE.PHOSPHORYLATION	HALLMARK.P53.PATHWAY	HALLMARK.PANCREAS.BETA.CELLS	HALLMARK.PEROXISOME	HALLMARK.PI3K.AKT.MTOR.SIGNALING	HALLMARK.PROTEIN.SECRETION	HALLMARK.REACTIVE.OXYGEN.SPECIES.PATHWAY	HALLMARK.SPERMATOGENESIS	HALLMARK.TGF.BETA.SIGNALING	HALLMARK.TNFA.SIGNALING.VIA.NFKB	HALLMARK.UNFOLDED.PROTEIN.RESPONSE	HALLMARK.UV.RESPONSE.DN	HALLMARK.UV.RESPONSE.UP	HALLMARK.WNT.BETA.CATENIN.SIGNALING	HALLMARK.XENOBIOTIC.METABOLISM
VanAllen.antiCTLA4.2015.p002.ar.689710	0.4579942351606443	0.42704916297151	0.48038850985157844	0.5473773362637822	0.42082698590398415	0.19179993269216059	0.47895519475147386	0.1549225454337816	0.4492528599843936	0.392696992438606	0.4750971580480082	0.3629220668667957	0.2898400210972256	0.6458172371565457	0.24738721981486006	0.20382877692430218	0.36022733077708674	0.33240112165504043	0.38267339534529266	0.356465243900805	0.30313061158996196	0.4777987645520604	0.35965228863183596	0.3385956569913298	0.3046210212992867	0.5312942423036349	0.544359336677432	-0.19686326298451579	0.3287435688096851	0.5547226123766203	0.4712666191842893	0.5465011910603247	0.37964794798858575	0.3112874898180842	0.494907894557865	0.454321126682276	0.4439023450805888	-0.22616323349784098	0.3538360434407731	0.4549903460214114	0.5068982154288667	0.5059866487801066	-0.12165814035979138	0.6051633131384334	0.45595865344782965	0.5147438364674377	0.5477354657677902	0.36960750171921136	0.4976335354407017	0.3102154324689817
VanAllen.antiCTLA4.2015.p004.ar.689711	0.4238019752299469	0.24673222911338044	0.513787330413868	0.445873003306127	0.44090710803360367	0.22414028354367144	0.4120983822949097	0.2062313030419613	0.3890077093399756	0.3564516869474085	0.351517066323312	0.34434508531836044	0.3211833944576736	0.5219647252358822	0.3039997496146875	0.3019193159002496	0.3372547220498872	0.36873195671264125	0.3165482298196034	0.3324979808036786	0.3099237528883603	0.387569369382653	0.25759203492659294	0.15589286200765035	0.13951089730597374	0.43524219635479466	0.4301033324600768	-0.09402578604822677	0.24938873697653782	0.5614793988760026	0.4643201513761869	0.6135095651998219	0.3443842975551459	0.2542510125982486	0.43023855399340943	0.4696658841461815	0.42690873033167787	-0.17041649948791515	0.3560026772452092	0.4595370128953368	0.5951984447956402	0.4266204419555108	-0.08582616903843295	0.5890676791706172	0.29365936931843734	0.49579904318902157	0.5603218606284601	0.30592486962889115	0.38086690581009525	0.24091651564563143
VanAllen.antiCTLA4.2015.p004.ar.780275	0.43923997058254066	0.27995603602024954	0.4719740485847804	0.356594638970387	0.3082915689039959	0.1553134582035962	0.4355276644883238	0.1476223924531317	0.4199891250365123	0.2570993584175452	0.32807844864701585	0.43446885683315406	0.540891616067561	0.3890912824811792	0.22243637131831567	0.16724625448602026	0.38649662174626026	0.5678326458790489	0.37875936344468575	0.34604871283810434	0.314878591169275	0.34602477369722534	0.2679281227944535	0.11920202951588395	0.11926056997281398	0.48676289835158865	0.4320689917206766	-0.22882411488068627	0.16348914111109192	0.6288449922506181	0.5302304663971088	0.7059346003252507	0.5030966159423796	0.1682433774651044	0.40499425351835366	0.5406026423673871	0.3685562134367759	-0.18866266117256789	0.37020525384291986	0.4556023104733496	0.5844397086527509	0.4497002166504484	-0.0029836601239989747	0.541604157327479	0.27987991057810824	0.545121689454448	0.450812638864767	0.34556306051795277	0.3583600750891735	0.1897328059964153
VanAllen.antiCTLA4.2015.p006.ar.774280	0.4021659381007802	0.4551691658904217	0.4835746177157868	0.42425782344323393	0.3634494373529815	0.19887061451907598	0.4612768669577904	0.1523196592500156	0.35409972931473715	0.33539586506960906	0.45129260616716543	0.36180140570413827	0.34515084829010173	0.45440767998472603	0.21650789740154153	0.16356475193431824	0.30970225518217914	0.3957700894738071	0.32660364693689975	0.3436350098101289	0.29905235534878144	0.35424824394029303	0.3491864626624844	0.3506241443036243	0.2616350580473214	0.7027987785066232	0.6334083994440203	-0.16096705834094488	0.30008477094036934	0.5767918201271834	0.47032330658075117	0.5912540714770014	0.37123873290973	0.20612287028340326	0.4510039737145478	0.4522951721875964	0.37369706544260267	-0.1824249712930128	0.29813368258931644	0.45400270990484465	0.5592011384644846	0.45465163835572475	-0.0994170265147397	0.5540965465393921	0.36539010653635345	0.5282608759597713	0.5224914616347984	0.32329431790910973	0.36735526056763124	0.23020685745283703
VanAllen.antiCTLA4.2015.p008.ar.778361	0.41376761874682183	0.33568440540059963	0.4794475478045031	0.3960088651909269	0.30358071366756745	0.14727686330962583	0.39437600459492883	0.171996300845605	0.4073902108773658	0.3427233430254365	0.37851017311320717	0.40287735112577927	0.4268455554404433	0.38320993380669305	0.16906811307063196	0.13734435812301285	0.3594556320451703	0.4538383108374114	0.3523257258914635	0.2968602473498072	0.2856062768224993	0.3250186472523471	0.21744587208791819	0.19691268236247128	0.14287874790257274	0.5994887037615974	0.5419696047421066	-0.18187058510875734	0.19493161387096236	0.5900561190481286	0.49360850552396995	0.6331797936195942	0.35528863584704384	0.20054659635092872	0.3393140769560181	0.5157011787611984	0.3311273751810016	-0.18547380887867343	0.34714902681101734	0.4269984324060202	0.6194952725599391	0.43911367047106203	-0.053812172268220444	0.4701783472903887	0.2364322202210442	0.5313061436934937	0.49113046704417673	0.30820051780096003	0.26205534903110556	0.18982077380079973
VanAllen.antiCTLA4.2015.p014.ar.771207	0.45754366362019055	0.2826443265170836	0.4970097221102055	0.5082033291541067	0.3900419508142953	0.17749584918954892	0.41628913203373996	0.111875092213231	0.43421474641564006	0.27575563115293594	0.3684936164353594	0.44757953900628056	0.5287260504849279	0.5141086662270136	0.1881898308457489	0.15087945138677297	0.34549288957214896	0.5429227134113519	0.358978994134751	0.3738734621423929	0.2894323329672373	0.38326353358007265	0.26845707640348976	0.19431256311619324	0.15931530379474754	0.44028992897548014	0.4230017966604084	-0.2327703711423566	0.2527068966889306	0.6472308363507857	0.5538490599180985	0.7211653706922272	0.501609069616113	0.23229245773140994	0.4362468726015352	0.5200186783928098	0.35748341311319914	-0.17648374043230886	0.3437747861995186	0.4740176259866415	0.5900761027433561	0.4903408978590441	0.0058346231270274915	0.5816328974802781	0.3056962990385501	0.5756839868030664	0.5432892650659599	0.35327896003626397	0.4735692352550805	0.21642626899577744
VanAllen.antiCTLA4.2015.p015.ar.669446	0.477102168458215	0.06685961825407248	0.48376580501128075	0.3424813815117058	0.2848666819626027	0.05942495496174938	0.3561038581764058	0.13587123418612523	0.40160597559221434	0.22078978125808785	0.2131927756697472	0.44499837175112517	0.5044450829748061	0.30798617058431726	0.21302888558338987	0.16934540972182463	0.40673350076169396	0.5107851090036272	0.3821355447623688	0.33577196481004407	0.2922078651008382	0.34394767697839496	0.17923591521721424	0.020966867294356244	0.002603092654867579	0.3516720273176213	0.22602084009158033	-0.197104180981937	0.09196381077328193	0.5881751954145233	0.5586639129757879	0.7117181309428725	0.534652597198364	0.20271257664838438	0.3709562051016625	0.6272673478121095	0.33927452762326993	-0.13020016723604116	0.3550579570948772	0.4290008141365973	0.6007864194861187	0.4283414939095733	-0.019945542199764174	0.46136039215132346	0.17771418096171723	0.6060654654257871	0.45574066790597506	0.30916300474183533	0.33072183108763953	0.18182531908828306
VanAllen.antiCTLA4.2015.p016.ar.780299	0.3981214012937358	0.2752351447937799	0.4408912759073462	0.17184839448239955	0.23820778555412708	0.09678109464449822	0.3516997160171149	0.1437824985623691	0.3232676164758624	0.21246647737329058	0.2909641023164207	0.4298610453747059	0.46395905067309146	0.24534595916861435	0.12636929921936776	0.09691604812371596	0.3582004061450147	0.4724753983916651	0.28245943119034317	0.23666941295938485	0.26759281525331063	0.2354867620597705	0.1886292335193315	0.12456588320189259	0.07115376387600542	0.544709912264397	0.4680520036054727	-0.2409794628778807	0.13583576269404182	0.5685540407780305	0.4949359071030815	0.6908777544320867	0.45749240327188156	0.11177695104579777	0.2652553091248518	0.5482769053752897	0.311878284620824	-0.2192107211879622	0.3238312046508084	0.44202914637153723	0.611799343981248	0.33856656995725787	-7.231288852773871e-4	0.44129207327803055	0.17704113230668908	0.5585072891686704	0.4380751976275312	0.2964495176336221	0.2210299463050555	0.15216392559424652
VanAllen.antiCTLA4.2015.p019.ar.774182	0.518959668347049	0.3999411271726063	0.5147700922543219	0.48436104670980057	0.3708766217495131	0.1850206695067514	0.4617210856028119	0.18184185134067163	0.45033922994226516	0.3853392629874168	0.43024800798320845	0.39744223666171014	0.4708791447419389	0.5327819677553758	0.22550318598938404	0.2040891070485153	0.41991643212724106	0.49943447741714003	0.36362872640311616	0.34724111551903236	0.2923180296633617	0.38625381271420556	0.3095399117609228	0.2916272810419822	0.21327014354226434	0.540235581742999	0.5273030868028252	-0.20384762744643728	0.30176805955302183	0.6067324600939068	0.5296132456366667	0.6808464218209671	0.43172717925771154	0.2638551550734222	0.39194341372237096	0.5500296046807089	0.3701578211163033	-0.15006677415983377	0.3873510568789369	0.4627150940462255	0.6018421838554401	0.5362324721385192	-0.06737196389620417	0.5658222501395598	0.3267427913657348	0.5331152290158413	0.53797936459816	0.3454952700130795	0.36381812684440556	0.30059849931137655
VanAllen.antiCTLA4.2015.p020.ar.672095	0.42336677278406937	0.2257165340966347	0.5031086119016903	0.36956576598182367	0.31168263922930806	0.11241109324381898	0.3932707032328864	0.1633126634552608	0.4265813747907837	0.20497714921434038	0.2808901541588129	0.41030657912745927	0.49841010380381323	0.3734001566726921	0.16722163197091272	0.11862271684481604	0.3768667354599679	0.5167676647596658	0.3777817683173253	0.3186449860958839	0.2791083398781957	0.34303528051607307	0.19976508456449787	0.10587728728318992	0.09347703722199804	0.4285701873175579	0.3654592700636172	-0.19715304883392903	0.15877361998195047	0.5975445870523424	0.5560010067909598	0.7225724963321257	0.46223208518284387	0.1784957781007982	0.33319642087250323	0.5814940160517835	0.32376060700450526	-0.18080949147381803	0.3224080355592089	0.43348758929926734	0.5999727890569065	0.3595211839727374	0.032067776070604785	0.4882929885032045	0.24120412945212197	0.5693907144251764	0.4867649426116694	0.2955247269051065	0.26867692066552035	0.17690442688928332
